Time,GMSL (monthly),GMSL (smoothed)
2016.542,    43.3,    41.9
2016.625,    39.1,    40.6
2016.708,    39.3,    38.8
2016.792,    38.2,    40.3
2016.875,    43.3,    41.3
2016.958,    42.3,    42.4
2017.042,    41.6,    41.1
2017.125,    39.3,    41.1
2017.208,    42.4,    41.8
2017.292,    43.8,    42.8
2017.375,    42.4,    43.0
2017.458,    43.0,    43.4
2017.542,    44.9,    44.3
2017.625,    45.1,    44.8
2017.708,    44.5,    44.1
2017.792,    42.6,    44.7
2017.875,    47.0,    45.5
2017.958,    46.8,    46.7
2018.042,    46.3,    46.2
2018.125,    45.5,    46.3
2018.208,    47.0,    45.1
2018.292,    42.9,    45.8
2018.375,    47.7,    45.7
2018.458,    46.5,    47.8
2018.542,    49.3,    47.5
2018.625,    46.5,    48.4
2018.708,    49.5,    48.3
2018.792,    48.9,    49.2
2018.875,    49.3,   #N/A
