"year","month","yr_part","OSIRIS Stratospheric Aerosol Optical Depth (550 nm) Global","OSIRIS Stratospheric Aerosol Optical Depth (550 nm) NH","OSIRIS Stratospheric Aerosol Optical Depth (550 nm) SH"
2016,7,2016.54166666667,0.0072,0.0071,0.0074
2016,8,2016.625,0.007,0.0068,0.0076
2016,9,2016.70833333333,0.0059,0.0061,0.006
2016,10,2016.79166666667,0.0056,NA,0.0056
2016,11,2016.875,0.0061,NA,0.0061
2016,12,2016.95833333333,0.0063,NA,0.0063
2017,1,2017.04166666667,0.0071,0.0091,0.007
2017,2,2017.125,0.0061,0.0064,0.0061
2017,3,2017.20833333333,0.0058,0.0052,0.0071
2017,4,2017.29166666667,0.0061,0.0055,0.0079
2017,5,2017.375,0.0045,0.0044,0.0064
2017,6,2017.45833333333,0.0057,0.0058,0.0057
2017,7,2017.54166666667,0.0063,0.0063,0.0063
2017,8,2017.625,0.0067,0.0071,0.0062
2017,9,2017.70833333333,0.006,0.0086,0.0054
2017,10,2017.79166666667,0.0041,NA,0.0041
2017,11,2017.875,0.0067,0.0111,0.0062
2017,12,2017.95833333333,0.007,0.0101,0.0065
2018,1,2018.04166666667,0.0061,0.0083,0.006
2018,2,2018.125,0.0059,0.0056,0.006
2018,3,2018.20833333333,0.0063,0.0064,0.0068
2018,4,2018.29166666667,0.0062,0.0061,0.0077
2018,5,2018.375,0.0052,0.0052,NA
2018,6,2018.45833333333,NA,NA,NA
2018,7,2018.54166666667,0.0057,0.0057,NA
2018,8,2018.625,0.0055,0.0055,0.0054
2018,9,2018.70833333333,0.0057,0.0053,0.0076
2018,10,2018.79166666667,0.0071,0.0113,0.0074
2018,11,2018.875,0.007,0.0167,0.007
2018,12,2018.95833333333,0.0072,0.0104,0.0071
2019,1,2019.04166666667,0.0071,0.0111,0.007
2019,2,2019.125,0.0079,0.0135,0.0074
2019,3,2019.20833333333,0.0088,0.0179,0.0084
2019,4,2019.29166666667,0.01,0.0098,0.0108
2019,5,2019.375,0.0041,0.0041,NA
2019,6,2019.45833333333,NA,NA,NA
2019,7,2019.54166666667,0.0093,0.0093,0.0045
