"year","met_year","yr_part","month","m0001"
1910,1910,1910.125,2,-0.717
1910,1910,1910.20833333333,3,-0.671
1910,1910,1910.29166666667,4,-0.68
1910,1910,1910.375,5,-0.642
1910,1910,1910.45833333333,6,-0.667
1910,1910,1910.54166666667,7,-0.659
1910,1910,1910.625,8,-0.66
1910,1910,1910.70833333333,9,-0.649
1910,1910,1910.79166666667,10,-0.691
1910,1910,1910.875,11,-0.727
1910,1911,1910.95833333333,12,-0.748
1911,1911,1911.04166666667,1,-0.677
1911,1911,1911.125,2,-0.686
1911,1911,1911.20833333333,3,-0.671
1911,1911,1911.29166666667,4,-0.674
1911,1911,1911.375,5,-0.668
1911,1911,1911.45833333333,6,-0.66
1911,1911,1911.54166666667,7,-0.673
1911,1911,1911.625,8,-0.664
1911,1911,1911.70833333333,9,-0.679
1911,1911,1911.79166666667,10,-0.723
1911,1911,1911.875,11,-0.773
1911,1912,1911.95833333333,12,-0.796
1912,1912,1912.04166666667,1,-0.765
1912,1912,1912.125,2,-0.757
1912,1912,1912.20833333333,3,-0.684
1912,1912,1912.29166666667,4,-0.696
1912,1912,1912.375,5,-0.667
1912,1912,1912.45833333333,6,-0.677
1912,1912,1912.54166666667,7,-0.69
1912,1912,1912.625,8,-0.708
1912,1912,1912.70833333333,9,-0.727
1912,1912,1912.79166666667,10,-0.767
1912,1912,1912.875,11,-0.798
1912,1913,1912.95833333333,12,-0.789
1913,1913,1913.04166666667,1,-0.74
1913,1913,1913.125,2,-0.725
1913,1913,1913.20833333333,3,-0.725
