Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1981,.59,.54,.59,.44,.26,.32,.5,.53,.23,.07,.19,.45,.39,.37,.43,.43,.45,.16
1982,.07,.2,-.1,.0,.26,-.01,.13,-.01,-.03,-.04,.09,.34,.08,.08,.24,.05,.04,.01
1983,.44,.39,.37,.34,.44,.24,.18,.49,.47,.18,.3,.15,.33,.35,.39,.38,.3,.32
1984,.2,.08,.31,.08,.47,-.05,.21,.22,.22,.17,.06,-.04,.16,.18,.14,.29,.13,.15
1985,.27,-.02,.2,.13,.08,.22,.03,.35,.18,.07,.01,.08,.13,.12,.07,.14,.2,.09
1986,.29,.47,.31,.3,.18,.06,.09,.19,.0,.05,.02,.11,.17,.17,.28,.26,.11,.02
1987,.35,.5,.24,.4,.26,.47,.5,.13,.31,.31,.32,.5,.36,.33,.32,.3,.37,.31
1988,.61,.41,.61,.43,.58,.55,.37,.36,.45,.47,.08,.27,.43,.45,.51,.54,.42,.33
1989,.17,.4,.36,.28,.11,.14,.41,.48,.49,.32,.12,.37,.3,.3,.28,.25,.34,.31
1990,.49,.38,.85,.63,.45,.42,.63,.43,.2,.55,.56,.43,.5,.5,.41,.64,.49,.43
1991,.43,.47,.4,.62,.35,.63,.68,.52,.43,.22,.22,.28,.44,.45,.44,.46,.61,.29
1992,.54,.46,.53,.31,.24,.34,.08,.17,-.06,.04,.0,.27,.24,.24,.43,.36,.19,-.01
1993,.42,.38,.45,.34,.3,.17,.26,.26,.14,.3,.14,.17,.28,.29,.36,.37,.23,.19
1994,.47,.17,.34,.45,.27,.64,.36,.19,.47,.46,.37,.39,.38,.36,.27,.35,.4,.44
1995,.52,.82,.49,.54,.25,.45,.77,.51,.43,.63,.52,.38,.53,.53,.58,.42,.58,.53
1996,.43,.51,.43,.26,.31,.25,.57,.61,.38,.36,.47,.45,.42,.41,.44,.34,.48,.4
1997,.47,.46,.63,.3,.33,.56,.29,.4,.38,.44,.56,.59,.45,.44,.46,.42,.42,.46
1998,.62,1.0,.78,.86,.84,.79,.83,.78,.49,.57,.54,.61,.72,.72,.74,.83,.8,.53
